iso3,country,year,ccrs_forecast,ccrs_forecast_hi,ccrs_forecast_lo,is_forecast
AFG,Afghanistan,2026,61.5276,61.7759,61.2794,True
AFG,Afghanistan,2027,61.6932,62.0035,61.3829,True
AFG,Afghanistan,2028,61.7454,62.1177,61.373,True
AGO,Angola,2026,48.008,48.1937,47.8224,True
AGO,Angola,2027,47.925,48.157,47.693,True
AGO,Angola,2028,47.9818,48.2602,47.7034,True
ALB,Albania,2026,29.5006,31.0627,27.9386,True
ALB,Albania,2027,29.415,31.3675,27.4624,True
ALB,Albania,2028,29.5884,31.9314,27.2453,True
AND,Andorra,2026,12.3133,12.3166,12.31,True
AND,Andorra,2027,12.3155,12.3197,12.3113,True
AND,Andorra,2028,12.3065,12.3115,12.3015,True
ARE,United Arab Emirates,2026,18.2761,19.3258,17.2263,True
ARE,United Arab Emirates,2027,18.6468,19.959,17.3346,True
ARE,United Arab Emirates,2028,18.7092,20.2839,17.1346,True
ARG,Argentina,2026,37.8211,38.7568,36.8853,True
ARG,Argentina,2027,37.8919,39.0615,36.7222,True
ARG,Argentina,2028,37.7302,39.1338,36.3266,True
ARM,Armenia,2026,33.1824,34.0513,32.3136,True
ARM,Armenia,2027,32.9,33.986,31.8139,True
ARM,Armenia,2028,32.798,34.1012,31.4947,True
ATG,Antigua and Barbuda,2026,23.0853,23.5694,22.6013,True
ATG,Antigua and Barbuda,2027,23.2338,23.8389,22.6288,True
ATG,Antigua and Barbuda,2028,23.289,24.0151,22.5629,True
AUS,Australia,2026,27.3868,27.4623,27.3113,True
AUS,Australia,2027,27.352,27.4464,27.2576,True
AUS,Australia,2028,27.414,27.5272,27.3007,True
AUT,Austria,2026,20.3329,20.4395,20.2263,True
AUT,Austria,2027,20.3793,20.5125,20.246,True
AUT,Austria,2028,20.3279,20.4877,20.168,True
AZE,Azerbaijan,2026,38.6709,39.4389,37.9028,True
AZE,Azerbaijan,2027,38.6836,39.6437,37.7235,True
AZE,Azerbaijan,2028,38.595,39.7471,37.4429,True
BDI,Burundi,2026,57.5347,57.8155,57.2538,True
BDI,Burundi,2027,57.6922,58.0433,57.3412,True
BDI,Burundi,2028,57.6499,58.0712,57.2286,True
BEL,Belgium,2026,26.9633,27.8044,26.1221,True
BEL,Belgium,2027,27.1658,28.2173,26.1143,True
